item,name,format,allow_value,length,note
3788,Secondary Diagnosis 5,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value ","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",7,
3790,Secondary Diagnosis 6,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value ","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",7,
3792,Secondary Diagnosis 7,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value ","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",7,
3794,Secondary Diagnosis 8,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value ","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",7,
3796,Secondary Diagnosis 9,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value ","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",7,
3798,Secondary Diagnosis 10,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value ","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",7,
3800,Schema ID,,See the NAACCR Site-Specific Data Item webpage for codes,5,New
3801,Chromosome 1p: Loss of Heterozygosity (LOH),,"0, 1, 6-9",1,New
3802,Chromosome 19q: Loss of Heterozygosity (LOH),,"0, 1, 6-9",1,New
3803,Adenoid Cystic Basaloid Pattern,Right justified,"0.0-100.0, XXX.5, XXX.8, XXX.9",5,New
3804,Adenopathy,,"0, 1, 9",1,New
3805,AFP Post-Orchiectomy Lab Value,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.7, XXXXX.8, XXXXX.9",7,New
3806,AFP Post-Orchiectomy Range,,"0-4, 7-9",1,New
3807,AFP Pre-Orchiectomy Lab Value,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.7, XXXXX.8, XXXXX.9",7,New
3808,AFP Pre-Orchiectomy Range,,"0-4, 7-9",1,New
3809,AFP Pretreatment Interpretation,,"0-2, 7-9",1,New
3810,AFP Pretreatment Lab Value,Right justified,"0.0, 0.1-9999.9, XXXX.1, XXXX.2, XXXX.8, XXXX.9",6,New
3811,Anemia,,"0, 1, 6, 7, 9",1,New
3812,B symptoms,,"0, 1, 8, 9",1,New
3813,Bilirubin Pretreatment Total Lab Value,Right justified,"0.0, 0.1-999.9, XXX.1, XXX.7, XXX.8, XXX.9",5,New
3814,Bilirubin Pretreatment Unit of Measure,,"1, 2, 7-9",1,New
3815,Bone Invasion,,"0, 1, 8, 9",1,New
3816,Brain Molecular Markers,,"01-09, 85-88, 99",2,New
3817,Breslow Tumor Thickness ,Right justified,"0.0, 0.1-99.9, XX.1, A.01-A9.9, AX.0, XX.8, XX.9",4,New
3818,CA-125 Pretreatment Interpretation,,"0-2, 7-9",1,New
3819,CEA Pretreatment Interpretation,,"0-3, 7-9",1,New
3820,CEA Pretreatment Lab Value,Right justified,"0.0, 0.1-9999.9, XXXX.1, XXXX.7, XXXX.8, XXXX.9",6,New
3821,Chromosome 3 Status,,"0-3, 7-9",1,New
3822,Chromosome 8q Status,,"0, 1, 7-9",1,New
3823,Circumferential Resection Margin (CRM),Right justified,"0.0, 0.1-99.9, XX.1, XX.2, XX.3, XX.4, XX.5, XX.6, XX.7, XX.8, XX.9",4,New
3824,Creatinine Pretreatment Lab Value,Right justified,"00, 0.1-99.9, XX.1, XX.7, XX.8, XX.9",4,New
3825,Creatinine Pretreatment Unit of Measure,,"1, 2, 7-9",1,New
3826,Estrogen Receptor Percent Positive or Range ,,"000-100, R10, R20, R30, R40, R50, R60, R70, R80, R90, R99, XX8, XX9",3,New
3827,Estrogen Receptor Summary,,"0, 1, 7, 9",1,New
3828,Estrogen Receptor Total Allred Score ,,"00-08, X8, X9",2,New
3829,Esophagus and EGJ Tumor Epicenter,,"0-2, 9",1,New
3830,Extranodal Extension Clin (non-Head and Neck),,"0-2, 7-9",1,New
3831,Extranodal Extension Head and Neck Clinical,,"0-2, 7-9",1,New
3832,Extranodal Extension Head and Neck Pathological,,"0.0, 0.1-9.9, X.1, X.2, X.3, X.4, X.7, X.8, X.9",3,New
3833,Extranodal Extension Path (non-Head and Neck),,"0, 1, 7-9",1,New
3834,Extravascular Matrix Patterns ,,"0, 1, 8, 9",1,New
3835,Fibrosis Score,,"0, 1, 7-9",1,New
3836,FIGO Stage,,"01-11, 20-24, 30-42, 97-99",2,New
3837,Gestational Trophoblastic Prognostic Scoring Index,,"00-25, X9",2,New
3838,Gleason Patterns Clinical,,"11-15, 19, 21-25, 29, 31-35, 39, 41-45, 49, 51-55, 59, X6, X7, X8, X9 ",2,New
3839,Gleason Patterns Pathological,,"11-15, 19, 21-25, 29, 31-35, 39, 41-45, 49, 51-55, 59, X6, X7, X8, X9 ",2,New
3840,Gleason Score Clinical,,"02-10, X7, X8, X9",2,New
3841,Gleason Score Pathological,,"02-10, X7, X8, X9",2,New
3842,Gleason Tertiary Pattern,,"10, 20, 30, 40, 50, X7, X8, X9 ",2,New
3843,Grade Clinical,,"1-5, 8, 9, A, B, C, D, E, L, H, M, S",1,New
3844,Grade Pathological,,"1-5, 8, 9, A, B, C, D, E, L, H, M, S",1,New
3845,Grade Post Therapy,,"1-5, 8, 9, A, B, C, D, E, L, H, M, S, Blank",1,New
3846,hCG Post-Orchiectomy Lab Value,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.7, XXXXX.8, XXXXX.9",7,New
3847,hCG Post-Orchiectomy Range,,"0-4, 7-9",1,New
3848,hCG Pre-Orchiectomy Lab Value,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.8, XXXXX.9",7,New
3849,hCG Pre-Orchiectomy Range,,"0-4, 7-9",1,New
3850,HER2 IHC Summary ,,"0-4, 7-9",1,New
3851,HER2 ISH Dual Probe Copy Number,Right justified,"0.0-99.9, XX.1, XX.7, XX.8, XX.9",4,New
3852,HER2 ISH Dual Probe Ratio,Right justified,"0.0-99.9, XX.2, XX.3, XX.7, XX.8, XX.9",4,New
3853,HER2 ISH Single Probe Copy Number,Right justifed,"0.0-99.9, XX.1, XX.7, XX.8, XX.9",4,New
3854,HER2 ISH Summary,,"0, 2, 3, 7-9",1,New
3855,HER2 Overall Summary ,,"0, 1, 7, 9",1,New
3856,Heritable Trait,,"0, 1, 7, 9",1,New
3857,High Risk Cytogenetics,,"0, 1, 7, 9",1,New
3858,High Risk Histologic Features,,"0-6, 8, 9",1,New
3859,HIV Status,,"0, 1, 7-9",1,New
3860,International Normalized Ratio Prothrombin Time,,"0.0-9.9, X.1, X.7, X.8, X.9",3,New
3861,Ipsilateral Adrenal Gland Involvement,,"0-4, 8, 9",1,New
3862,JAK2,,"0-5, 7-9",1,New
3863,Ki-67,Right justified,"0.0-100.0, XXX.7, XXX.8, XXX.9",5,New
3864,Invasion Beyond Capsule,,"0-5, 8, 9",1,New
3865,KIT Gene Immunohistochemistry ,,"0, 1, 7-9",1,New
3866,KRAS,,"0-4, 7-9",1,New
3867,LDH Post-Orchiectomy Range,,"0-4, 7-9",1,New
3868,LDH Pre-Orchiectomy Range,,"0-4, 7-9",1,New
3869,LDH Pretreatment Level,,"0, 1, 7, 9",1,New
3870,LDH Upper Limits of Normal,,"001-999, XX8, XX9",3,New
3871,LN Assessment Method Femoral-Inguinal,,"0-2, 7-9",1,New
3872,LN Assessment Method Para-Aortic,,"0-2, 7-9",1,New
3873,LN Assessment Method Pelvic,,"0-2, 7-9",1,New
3874,LN Distant Assessment Method,,"0-2, 7-9",1,New
3875,"LN Distant: Mediastinal, Scalene",,"0-3, 8, 9",1,New
3876,LN Head and Neck Levels I-III,,0-9,1,New
3877,LN Head and Neck Levels IV-V,,"0-3, 8, 9",1,New
3878,LN Head and Neck Levels VI-VII,,"0-3, 8, 9",1,New
3879,LN Head and Neck Other,,0-9,1,New
3880,LN Isolated Tumor Cells (ITC),,"0, 1, 8, 9",1,New
3881,LN Laterality,,"0-3, 8, 9",1,New
3882,LN Positive Axillary Level I-II,,"00-99, X1, X5, X6, X8, X9",2,New
3883,LN Size,Right justified,"0.0, 0.1-99.9, XX.1, XX.2, XX.3, XX.4, XX.5, XX.6, XX.7, XX.8, XX.9",4,New
3884,"LN Status Femoral-Inguinal, Para-Aortic, Pelvic",,0-9,1,New
3885,Lymphocytosis,,"0, 1, 6, 7, 9",1,New
3886,Major Vein Involvement,,"0-4, 8, 9",1,New
3887,Measured Basal Diameter,Right justified,"0.0-99.9, XX.0, XX.1, XX.2, XX.3, XX.4, XX.5, XX.6, XX.8, XX.9",4,New
3888,Measured Thickness,Right justified,"0.0-99.9, XX.0, XX.1, XX.2, XX.3, XX.4, XX.5, XX.6, XX.8, XX.9",4,New
3889,Methylation of O6-Methylguanine-Methyltransferase,,"0-3, 6-9",1,New
3890,Microsatellite Instability (MSI),,"0-2, 8, 9",1,New
3891,Microvascular Density ,,"00-99, X1, X2, X3, X4, X5, X7, X8, X9",2,New
3892,Mitotic Count Uveal Melanoma,Right justified,"0.0, 0.1-99.9, XX.1, XX.2, XX.3, XX.4, XX.7, XX.8, XX.9",4,New
3893,Mitotic Rate Melanoma,,"00-99, X1, X2, X3, X4, X7, X8, X9",2,New
3894,Multigene Signature Method,,1-9,1,New
3895,Multigene Signature Results,,"00-99, X1, X2, X3, X4, X7, X8, X9",2,New
3896,NCCN International Prognostic Index (IPI),,"00-08, X1, X2, X3, X4, X8, X9",2,New
3897,Number of Cores Examined,,"01-99, X1, X6, X7, X8, X9",2,New
3898,Number of Cores Positive,,"00, 01-99, X1, X6, X7, X8, X9",2,New
3899,Number of Examined Para-Aortic Nodes,,"00, 01-99, X1, X2, X6, X8, X9",2,New
3900,Number of Examined Pelvic Nodes,,"00, 01-99, X1, X2, X6, X8, X9",2,New
3901,Number of Positive Para-Aortic Nodes,,"00, 01-99, X1, X2, X6, X8, X9",2,New
3902,Number of Positive Pelvic Nodes,,"00, 01-99, X1, X2, X6, X8, X9",2,New
3903,Oncotype Dx Recurrence Score-DCIS,"Right justified, zero-filled","0-100, XX6, XX7, XX8, XX9",3,New
3904,Oncotype Dx Recurrence Score-Invasive,"Right justified, zero-filled","0-100, XX4, XX5, XX6, XX7, XX9",3,New
3905,Oncotype Dx Risk Level-DCIS,,"0-2, 6-9",1,New
3906,Oncotype Dx Risk Level-Invasive,,"0-2, 6-9",1,New
3907,Organomegaly,,"0, 1, 9",1,New
3908,Percent Necrosis Post Neoadjuvant,Right justified,"0.0, 0.1-100.0, XXX.2, XXX.8, XXX.9",5,New
3909,Perineural Invasion,,"0, 1, 8, 9",1,New
3910,Peripheral Blood Involvement,,"0-7, 9",1,New
3911,Peritoneal Cytology,,"0-3, 7-9",1,New
3913,Pleural Effusion,,"0-4, 8, 9",1,New
3914,Progesterone Receptor Percent Positive or Range,,"000, 001-100, R10, R20, R30, R40, R50, R60, R70, R80, R90, R99, XX8, XX9",3,New
3915,Progesterone Receptor Summary,,"0, 1, 7, 9",1,New
3916,Progesterone Receptor Total Allred Score,,"00-08, X8, X9",2,New
3917,Primary Sclerosing Cholangitis ,,"0, 1, 8, 9",1,New
3918,Profound Immune Suppression,,"0-6, 8, 9",1,New
3919,Prostate Pathological Extension,,000-999,3,New
3920,PSA (Prostatic Specific Antigen) Lab Value,Right justified,"0.1, 0.2-999.9, XXX.1, XXX.7, XXX.9",5,New
3921,Residual Tumor Volume Post Cytoreduction ,,"00, 10, 20, 30, 40, 90, 91-93, 97-99",2,New
3922,Response to Neoadjuvant Therapy,,"0-4, 8, 9",1,New
3923,S Category Clinical,,"0-3, 9",1,New
3924,S Category Pathological,,"0-3, 9",1,New
3925,Sarcomatoid Features,,"000, 001-100, R01, R02, R03, R04, R05, XX6, XX7, XX8, XX9",3,New
3926,Schema Discriminator 1,,,1,New
3927,Schema Discriminator 2,,,1,New
3928,Schema Discriminator 3,,,1,New
3929,Separate Tumor Nodules,,"0-4, 7-9",1,New
3930,Serum Albumin Pretreatment Level,,"0, 1, 7, 9",1,New
3931,Serum Beta-2 Microglobulin Pretreatment Level,,"0-2, 7, 9",1,New
3932,LDH Pretreatment Lab Value,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.7, XXXXX.8, XXXXX.9",7,New
3933,Thrombocytopenia,,"0, 1, 6, 7, 9",1,New
3934,Tumor Deposits,,"00, 01-99, X1, X2, X8, X9",2,New
3935,Tumor Growth Pattern,,"1-3, 8, 9",1,New
3936,Ulceration,,"0, 1, 8, 9",1,New
3937,Visceral and Parietal Pleural Invasion,,"0-4, 6, 8, 9",1,New
7010,Path Reporting Fac ID 1,"Left justified, alphanumeric",,25,
7011,Path Reporting Fac ID 2,"Left justified, alphanumeric",,25,
7012,Path Reporting Fac ID 3,"Left justified, alphanumeric",,25,
7013,Path Reporting Fac ID 4,"Left justified, alphanumeric",,25,
7014,Path Reporting Fac ID 5,"Left justified, alphanumeric",,25,
7090,Path Report Number 1,"Left justified, alphanumeric",,20,
7091,Path Report Number 2,"Left justified, alphanumeric",,20,
7092,Path Report Number 3,"Left justified, alphanumeric",,20,
7093,Path Report Number 4,"Left justified, alphanumeric",,20,
7094,Path Report Number 5,"Left justified, alphanumeric",,20,
7100,Path Order Phys Lic No 1,"Left justified, alphanumeric, no embedded blanks",,20,
7101,Path Order Phys Lic No 2,"Left justified, alphanumeric, no embedded blanks",,20,
7102,Path Order Phys Lic No 3,"Left justified, alphanumeric, no embedded blanks",,20,
7103,Path Order Phys Lic No 4,"left justified, alphanumeric, no embedded blanks",,20,
7104,Path Order Phys Lic No 5,"left justified, alphanumeric, no embedded blanks",,20,
7190,Path Ordering Fac No 1,"Left justified, alphanumeric",blank,25,
7191,Path Ordering Fac No 2,"Left justified, alphanumeric",blank,25,
7192,Path Ordering Fac No 3,"Left justified, alphanumeric",blank,25,
7193,Path Ordering Fac No 4,"Left justified, alphanumeric",blank,25,
7194,Path Ordering Fac No 5,"Left justified, alphanumeric",blank,25,
7320,Path Date Spec Collect 1,YYYYMMDDhhmmss,Valid dates,14,
7321,Path Date Spec Collect 2,YYYYMMDDhhmmss,Valid dates,14,
7322,Path Date Spec Collect 3,YYYYMMDDhhmmss,Valid dates,14,
7323,Path Date Spec Collect 4,YYYYMMDDhhmmss,Valid dates,14,
7324,Path Date Spec Collect 5,YYYYMMDDhhmmss,Valid dates,14,
7480,Path Report Type 1,"Right justified, zero filled","01-11, 98, 99",2,
7481,Path Report Type 2,"Right justified, zero filled","01-11, 98, 99",2,
7482,Path Report Type 3,"Right justified, zero filled","01-11, 98, 99",2,
7483,Path Report Type 4,"Right justified, zero filled","01-11, 98, 99",2,
7484,Path Report Type 5,"Right justified, zero filled","01-11, 98, 99",2,
